source_dataset,public_ground_truth,session_id,client_endpoint,server_endpoint,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000021,203.172.129.170.41340,153.92.220.149.1883,79751606,631,294,337,0,0,263108,263108,8.143876,583,0,-308,0,-908,0,-928,0,-1201,0,-322,0,-1213,0,-304,0,-1222,0,-599,0,-284
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000022,120.84.229.178.17266,150.129.7.132.443,79751606,266,266,0,0,0,0,0,8.134473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000023,202.96.58.221.42411,104.21.228.221.443,79751606,335,135,200,0,0,9949,9949,7.969368,268,-63,-46,0,-47,0,-48,0,-46,-47,0,-47,0,-46,0,-46,0,-47,0,-44,-44
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000024,150.129.80.151.60368,156.213.23.57.443,79751606,4694,654,4040,0,455,30641866,30642321,8.139454,565,0,0,0,0,-4127,-2920,-1791,0,-4127,-4127,-11680,-4726,-11680,-20440,-2920,-10220,-11680,-5840,-1460,-10220
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000025,211.245.66.142.60219,133.20.146.86.443,79751606,466,0,466,0,0,988491,988491,8.098176,1,-1448,-4344,-1448,-1448,-1448,-5792,-1448,-1448,-1448,-1448,-1448,-1448,-5792,-1448,-5792,-1448,-1448,-1448,-1448,-2896
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000026,120.84.229.67.26655,150.129.7.132.443,79751606,285,285,0,0,0,0,0,8.138121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000027,211.245.66.142.60214,133.20.146.86.443,79751606,476,0,476,0,0,1024460,1024460,8.13986,1,-4344,-1448,-1448,-2896,-2896,-1448,-2896,-1448,-4344,-5792,-5792,-369,0,-4344,-1448,-2896,-2896,-1448,-2896,-1448
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000028,211.245.66.142.60221,133.20.146.86.443,79751606,426,0,426,0,0,930268,930268,8.120082,1,-1448,-1448,-1448,-1448,-2896,-1448,-1448,-2896,-1448,-1448,-2896,-1448,-1448,-1448,-1448,-1448,-1448,-1448,-2896,-1448
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000029,211.245.66.142.60215,133.20.146.86.443,79751606,352,0,352,0,0,671031,671031,8.120023,1,-2896,-1448,-1448,-1448,-1448,-1448,-1448,-1448,-1448,-1448,-1448,-1448,-1448,-5792,-1448,-1448,-1448,-2896,-1448,-1448
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000030,126.181.224.143.50907,192.205.239.36.22,79751606,1776,1776,0,0,69924,0,69924,8.147758,1,0,0,104,0,68,68,0,0,68,36,68,0,0,0,68,0,0,68,0,68
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000031,120.84.230.230.31185,150.129.7.132.443,79751606,274,274,0,0,0,0,0,8.125348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000032,202.96.58.155.53186,104.23.160.146.443,79751606,50,21,29,0,3559,2182,5741,6.647169,29,-70,0,363,0,-316,254,0,-186,0,-70,66,254,0,0,-251,0,-70,321,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000033,120.84.234.212.5386,150.129.7.132.443,79751606,385,385,0,0,0,0,0,8.117963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000034,150.129.7.132.33034,198.214.225.199.873,79751606,5459,0,5459,0,0,23910824,23910824,8.146502,1,-8680,-11584,-1448,-10136,-11584,-1448,-8688,-2896,-2912,-5784,-4344,-4336,-2888,-2896,-1448,-10136,-11584,-21720,-24,-1448
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000035,153.92.220.149.1883,203.172.129.169.52826,79751606,616,333,283,0,264007,0,264007,8.139992,565,599,0,605,0,1238,0,570,0,932,0,1235,0,604,0,291,0,1234,0,296,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000036,12.170.61.136.35704,150.129.7.132.443,79751606,2761,2761,0,0,0,0,0,8.144401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000037,157.82.236.203.61226,3.2.124.127.443,79751606,1939,1939,0,0,1392,0,1392,8.111988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000038,157.82.236.203.63270,52.43.87.183.443,79751606,2282,2282,0,0,1394,0,1394,8.010991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000039,202.96.58.35.62528,170.82.127.75.443,79751606,259,0,259,0,0,53498,53498,8.112101,1,0,-49,-291,-38,-291,-291,0,-582,-291,0,-291,-291,-291,-327,-291,-291,-86,-291,-86,-86
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000040,131.105.138.6.11505,104.188.202.94.443,79751606,52,0,52,0,0,29219,29219,8.063549,1,0,-345,0,0,-124,0,0,-212,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000041,157.82.4.204.28018,95.168.187.245.443,79751606,9,5,4,0,266,224,490,6.345194,7,-112,0,0,0,266,-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000042,160.161.230.122.57844,130.31.254.31.443,79751606,1736,0,1736,0,0,92573,92573,8.145882,1,0,0,0,0,0,0,-84,0,0,0,-84,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000043,157.82.4.193.46658,3.90.114.90.443,79751606,146,146,0,0,85609,0,85609,7.975543,1,0,0,0,76,2920,636,75,976,0,0,1336,76,1304,75,1317,75,1331,1382,75,1229
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000044,152.109.190.86.6505,163.208.20.79.443,79751606,102,0,102,0,0,36754,36754,8.12527,1,0,0,0,0,0,-321,-2824,-417,-208,-536,0,0,0,-739,0,0,-164,-1412,-1080,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000045,111.143.227.7.57922,131.105.38.80.22,79751606,11,11,0,0,1010,0,1010,0.478932,1,22,0,0,496,272,16,52,100,52,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000046,120.84.234.108.15961,150.129.7.132.443,79751606,339,339,0,0,0,0,0,8.085533,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000047,136.27.33.141.29252,150.129.5.58.443,79751606,608,0,608,0,0,97798,97798,8.130658,1,0,0,-170,0,-154,-154,0,0,-154,-332,0,-154,0,0,0,-154,-74,0,-154,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000048,138.91.215.139.14699,133.20.227.246.22,79751606,12,6,6,0,204,104,308,1.498815,11,16,0,52,0,-52,84,-52,52,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000049,120.84.229.177.3608,150.129.7.132.443,79751606,261,261,0,0,0,0,0,8.146279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000050,23.206.195.109.52804,131.105.251.2.443,79751606,35,35,0,0,2848,0,2848,3.889598,1,857,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000051,157.82.4.192.36488,15.207.209.203.443,79751606,18,11,7,0,1454,570,2024,0.607856,6,0,75,6,45,0,-51,0,419,878,0,-488,-31,0,0,0,31,0,0,0,0
